lora_rank,learning_rate,num_epochs,lora_dropout,eval_loss_mean,eval_loss_std,perplexity_mean,n_runs
8,5e-05,3,0.0,0.9679638743400574,0.016202320401979695,2.6328558362766716,5
8,5e-05,3,0.05,0.9682823419570923,0.015970370754430457,2.633686361683124,5
8,5e-05,3,0.1,0.9688305735588074,0.01617879196398322,2.635137760943211,5
8,5e-05,5,0.0,0.9643641352653504,0.015936056957145135,2.623386012476021,5
8,5e-05,5,0.05,0.9637474656105042,0.016428444405448397,2.62178566591551,5
8,5e-05,5,0.1,0.9635229587554932,0.017114297608676523,2.621221278840338,5
8,0.0001,2,0.0,0.9631107568740844,0.014837364612636851,2.620064778995779,5
8,0.0001,2,0.05,0.963607919216156,0.015679144477165674,2.6213946963555834,5
8,0.0001,2,0.1,0.9641738772392273,0.015923613046768068,2.6228868125204787,5
8,0.0001,3,0.0,0.9464019536972046,0.017043847235691977,2.576723233409132,5
8,0.0001,3,0.05,0.945944631099701,0.016664499358670794,2.5755318092760793,5
8,0.0001,3,0.1,0.9460263609886169,0.017914032173509592,2.575786946610431,5
8,0.0001,5,0.0,0.9449060797691345,0.016794128292127154,2.572862390207708,5
8,0.0001,5,0.05,0.9448561310768128,0.016621683679318877,2.5727279467810678,5
8,0.0001,5,0.1,0.9452321887016296,0.016230268770635162,2.573682448921974,5
8,0.0002,2,0.0,0.9470898747444153,0.015736062714623626,2.5784518681300206,5
8,0.0002,2,0.05,0.9461040019989013,0.015968813361662136,2.5759186911164518,5
8,0.0002,2,0.1,0.9476515650749207,0.01607330432737633,2.5799116817924173,5
8,0.0002,3,0.0,0.9352869153022766,0.016630128758949092,2.5482267280084323,5
8,0.0002,3,0.05,0.9346211194992066,0.017490635835120387,2.546560785560535,5
8,0.0002,3,0.1,0.9346858501434326,0.017111209038334907,2.5467122796588098,5
8,0.0002,5,0.0,0.9382473945617675,0.0187599807296522,2.555858437864654,5
8,0.0002,5,0.05,0.9385698080062866,0.01813044553597183,2.5566585065822007,5
8,0.0002,5,0.1,0.9383360147476196,0.018351948174469758,2.5560693920582165,5
16,5e-05,2,0.0,0.9742516875267029,0.01549534280622688,2.6494389950515873,5
16,5e-05,2,0.05,0.9748356699943542,0.015519635673865162,2.6509875300518946,5
16,5e-05,2,0.1,0.9743141174316406,0.015808541361686506,2.649614801740795,5
16,5e-05,3,0.0,0.9529894113540649,0.01650236653792298,2.5937341580976767,5
16,5e-05,3,0.05,0.9527992844581604,0.017340237939146987,2.5932706024631886,5
16,5e-05,3,0.1,0.9530873537063599,0.01722514067589268,2.594013580538518,5
16,5e-05,5,0.0,0.9498032808303833,0.016212208787357952,2.5854733168704733,5
16,5e-05,5,0.05,0.950668454170227,0.016542702225917527,2.5877223539112135,5
16,5e-05,5,0.1,0.9495864272117615,0.01603459518306348,2.5849067535530863,5
16,0.0001,2,0.0,0.9510053277015686,0.015206693604871271,2.5885503505853866,5
