run_name,lora_rank,learning_rate,num_epochs,lora_dropout,seed,train_loss,eval_loss,perplexity,runtime_min
sw_0317_r16_lr1e-04_e2_d00_s456,16,0.0001,2,0.0,456,1.0091049505427558,0.9600788354873657,2.611902375903556,8.454025
sw_0233_r8_lr2e-04_e2_d05_s789,8,0.0002,2,0.05,789,0.9823960849945558,0.944394588470459,2.571256239108229,8.632353333333333
sw_0334_r16_lr1e-04_e3_d00_s999,16,0.0001,3,0.0,999,0.8583919091445664,0.95918208360672,2.609561197420896,12.615368333333333
sw_0176_r8_lr5e-05_e5_d10_s123,8,5e-05,5,0.1,123,0.841764138471634,0.9474407434463501,2.5791006256381,21.499896666666665
sw_0138_r8_lr5e-05_e2_d00_s789,8,5e-05,2,0.0,789,1.182619260594169,0.9902392029762268,2.691878300644525,8.649223333333333
sw_0326_r16_lr1e-04_e2_d10_s123,16,0.0001,2,0.1,123,1.0178447968182078,0.9362886548042297,2.5504980524985883,8.677851666666667
sw_0289_r16_lr5e-05_e3_d00_s999,16,5e-05,3,0.0,999,0.9725570838081645,0.9764999151229858,2.6551467204930987,12.674946666666667
sw_0323_r16_lr1e-04_e2_d05_s789,16,0.0001,2,0.05,789,1.0081815923598998,0.9478917121887207,2.5802639817025854,8.660580000000001
sw_0167_r8_lr5e-05_e5_d00_s456,8,5e-05,5,0.0,456,0.8414497344889106,0.9769418835639954,2.6563204709110213,21.165779999999998
sw_0246_r8_lr2e-04_e3_d05_s123,8,0.0002,3,0.05,123,0.8297336267277519,0.9150457978248596,2.496889601399048,12.949036666666666
sw_0349_r16_lr1e-04_e5_d00_s999,16,0.0001,5,0.0,999,0.6158613980135178,0.9585098028182983,2.6078074291400735,21.082971666666666
sw_0144_r8_lr5e-05_e2_d05_s999,8,5e-05,2,0.05,999,1.1871242421196107,1.0139213800430298,2.7563886975210554,8.93919
sw_0007_r4_lr5e-05_e2_d05_s456,4,5e-05,2,0.05,456,1.2640143741260876,1.037401795387268,2.821875670940522,8.959746666666666
sw_0101_r4_lr2e-04_e2_d10_s123,4,0.0002,2,0.1,123,1.039759324833671,0.9412871599197388,2.563278645380242,9.109306666666667
sw_0217_r8_lr1e-04_e5_d05_s456,8,0.0001,5,0.05,456,0.7004049081853366,0.9548811316490173,2.598361701591054,21.51203
sw_0236_r8_lr2e-04_e2_d10_s123,8,0.0002,2,0.1,123,0.9888496271429215,0.9314289093017578,2.5381333500473438,8.599608333333332
sw_0038_r4_lr5e-05_e5_d05_s789,4,5e-05,5,0.05,789,0.9379761231774315,0.9599898457527161,2.61166995374594,21.996146666666668
sw_0072_r4_lr1e-04_e3_d10_s456,4,0.0001,3,0.1,456,0.9972141416952571,0.9654398560523987,2.625942439161996,13.364765
sw_0228_r8_lr2e-04_e2_d00_s789,8,0.0002,2,0.0,789,0.9820448319542217,0.9450417757034302,2.5729208619220914,8.367585
sw_0264_r8_lr2e-04_e5_d05_s999,8,0.0002,5,0.05,999,0.5872555152617673,0.9569205045700073,2.6036661371068446,21.53551
sw_0056_r4_lr1e-04_e2_d10_s123,4,0.0001,2,0.1,123,1.1341125365884546,0.9618074297904968,2.6164211999524296,9.030986666666667
sw_0116_r4_lr2e-04_e3_d10_s123,4,0.0002,3,0.1,123,0.8917008746754039,0.9264229536056519,2.525459316239231,13.408658333333333
sw_0300_r16_lr5e-05_e5_d00_s42,16,5e-05,5,0.0,42,0.7482459440588314,0.9378968477249146,2.554603045336324,21.011728333333334
sw_0137_r8_lr5e-05_e2_d00_s456,8,5e-05,2,0.0,456,1.1789166659594856,1.0079550743103027,2.739992201725385,8.594178333333334
sw_0003_r4_lr5e-05_e2_d00_s789,4,5e-05,2,0.0,789,1.26363076245721,1.0145940780639648,2.758243538546803,8.713093333333335
sw_0155_r8_lr5e-05_e3_d05_s42,8,5e-05,3,0.05,42,1.0531523984171278,0.9605043530464172,2.6130140227228784,13.045946666666667
sw_0112_r4_lr2e-04_e3_d05_s456,4,0.0002,3,0.05,456,0.8852845436748974,0.9491339325904846,2.58347122990474,13.356855
sw_0060_r4_lr1e-04_e3_d00_s42,4,0.0001,3,0.0,42,0.9961597851465943,0.9460924863815308,2.5756256780863924,13.019471666666668
sw_0146_r8_lr5e-05_e2_d10_s123,8,5e-05,2,0.1,123,1.1904805509801855,0.9805993437767029,2.6660536458455453,8.665641666666666
sw_0325_r16_lr1e-04_e2_d10_s42,16,0.0001,2,0.1,42,1.0144771841120592,0.9406219720840454,2.561574150573298,8.667465
sw_0224_r8_lr1e-04_e5_d10_s999,8,0.0001,5,0.1,999,0.7001148889409029,0.9678044319152832,2.6321590261702323,21.489568333333334
sw_0041_r4_lr5e-05_e5_d10_s123,4,5e-05,5,0.1,123,0.9397930226861474,0.9534636735916138,2.5946812419259158,22.015204999999998
sw_0337_r16_lr1e-04_e3_d05_s456,16,0.0001,3,0.05,456,0.8591292158380124,0.9466735124588013,2.577122618609275,13.104403333333332
sw_0353_r16_lr1e-04_e5_d05_s789,16,0.0001,5,0.05,789,0.6187896631618235,0.9393981099128723,2.5584410545017096,21.63809666666667
sw_0150_r8_lr5e-05_e3_d00_s42,8,5e-05,3,0.0,42,1.052861038270056,0.9594660997390747,2.6103024601596356,12.523676666666667
sw_0275_r16_lr5e-05_e2_d05_s42,16,5e-05,2,0.05,42,1.1118147513445686,0.9639124870300293,2.6219347174400185,8.698884999999999
sw_0248_r8_lr2e-04_e3_d05_s789,8,0.0002,3,0.05,789,0.825401584519847,0.9294501543045044,2.5331159717155822,13.079808333333334
sw_0100_r4_lr2e-04_e2_d10_s42,4,0.0002,2,0.1,42,1.0344510486419187,0.9437226057052612,2.569528979639935,9.022061666666668
sw_0000_r4_lr5e-05_e2_d00_s42,4,5e-05,2,0.0,42,1.2631539227490756,1.0098766088485718,2.745262253046856,8.716438333333334
sw_0034_r4_lr5e-05_e5_d00_s999,4,5e-05,5,0.0,999,0.9310107970620222,0.9913058280944824,2.69475105746021,21.455865
sw_0343_r16_lr1e-04_e3_d10_s789,16,0.0001,3,0.1,789,0.8620315024134522,0.932087779045105,2.539806200350979,12.987491666666667
sw_0110_r4_lr2e-04_e3_d05_s42,4,0.0002,3,0.05,42,0.8894443338780055,0.9317103028297424,2.5388476648422755,13.370353333333332
sw_0286_r16_lr5e-05_e3_d00_s123,16,5e-05,3,0.0,123,0.9726358455557662,0.9361582398414612,2.5501654510786027,12.633971666666667
sw_0347_r16_lr1e-04_e5_d00_s456,16,0.0001,5,0.0,456,0.6180910564361409,0.9489208459854126,2.582920785439312,21.076636666666666
sw_0370_r16_lr2e-04_e2_d10_s42,16,0.0002,2,0.1,42,0.9333770848850516,0.9240504503250122,2.5194747577258267,8.682311666666667
sw_0051_r4_lr1e-04_e2_d05_s123,4,0.0001,2,0.05,123,1.1348006687062309,0.9629049897193909,2.619294455515256,9.026771666666667
sw_0122_r4_lr2e-04_e5_d00_s456,4,0.0002,5,0.0,456,0.6489139482936758,0.9584261775016785,2.607589359536325,21.523316666666666
sw_0194_r8_lr1e-04_e2_d10_s999,8,0.0001,2,0.1,999,1.075422103392249,0.9876202940940857,2.6848377399708467,8.71139
sw_0227_r8_lr2e-04_e2_d00_s456,8,0.0002,2,0.0,456,0.9824867452529662,0.9539468884468079,2.5959353334199258,8.447123333333334
sw_0272_r16_lr5e-05_e2_d00_s456,16,5e-05,2,0.0,456,1.1036854682759167,0.9844409227371216,2.6763151991025547,8.425473333333333
sw_0282_r16_lr5e-05_e2_d10_s456,16,5e-05,2,0.1,456,1.1086715708441912,0.9843267798423767,2.6760097341721365,8.670603333333334
sw_0308_r16_lr5e-05_e5_d05_s789,16,5e-05,5,0.05,789,0.7499929963586165,0.9472216367721558,2.5785355893814716,21.649133333333335
sw_0249_r8_lr2e-04_e3_d05_s999,8,0.0002,3,0.05,999,0.8262693223256266,0.9593935608863831,2.610113118681387,12.906536666666666
sw_0127_r4_lr2e-04_e5_d05_s456,4,0.0002,5,0.05,456,0.6528411577092135,0.9542396068572998,2.5966953227104663,22.11867833333333
sw_0247_r8_lr2e-04_e3_d05_s456,8,0.0002,3,0.05,456,0.8216003142363673,0.9446101188659668,2.571810482708422,12.937201666666665
sw_0354_r16_lr1e-04_e5_d05_s999,16,0.0001,5,0.05,999,0.617821063077386,0.9587370753288269,2.608400179436842,21.655988333333333
